trial_id,scenario_id,repetition,attack_technique,outcome_or_success,interpretation_or_context,process_lineage_or_correlation,content_interpretation,action_assertion,artefact_existence,total_major_errors
T01-S1,S1,1,T1003.002,0,1,0,0,0,0,1
T01-S2,S2,1,T1059.001,0,1,1,1,0,0,3
T01-S3,S3,1,T1105,1,1,0,0,1,0,3
T01-S4,S4,1,T1053.005,2,0,0,1,0,0,3
T01-S5,S5,1,T1547.001,1,0,1,0,1,0,3
T02-S1,S1,2,T1003.002,0,0,0,0,0,0,0
T02-S2,S2,2,T1059.001,0,0,0,0,0,0,0
T02-S3,S3,2,T1105,1,0,0,0,0,0,1
T02-S4,S4,2,T1053.005,2,0,0,0,0,0,2
T02-S5,S5,2,T1547.001,1,1,1,0,0,0,3
T03-S1,S1,3,T1003.002,0,0,0,0,0,0,0
T03-S2,S2,3,T1059.001,0,0,0,0,0,0,0
T03-S3,S3,3,T1105,0,0,0,0,0,0,0
T03-S4,S4,3,T1053.005,0,0,0,0,0,0,0
T03-S5,S5,3,T1547.001,0,0,1,0,0,1,2
