trial_id,scenario_id,repetition,phase_index,phase_name,duration_seconds
T01-S1,S1,1,1,alert_verification,107
T01-S1,S1,1,2,log_extraction,248
T01-S1,S1,1,3,process_correlation,423
T01-S1,S1,1,4,artifact_correlation,194
T01-S1,S1,1,5,ti_lookup,172
T01-S1,S1,1,6,report_synthesis,318
T01-S2,S2,1,1,alert_verification,98
T01-S2,S2,1,2,log_extraction,233
T01-S2,S2,1,3,process_correlation,412
T01-S2,S2,1,4,artifact_correlation,187
T01-S2,S2,1,5,ti_lookup,164
T01-S2,S2,1,6,report_synthesis,319
T01-S3,S3,1,1,alert_verification,114
T01-S3,S3,1,2,log_extraction,247
T01-S3,S3,1,3,process_correlation,416
T01-S3,S3,1,4,artifact_correlation,193
T01-S3,S3,1,5,ti_lookup,189
T01-S3,S3,1,6,report_synthesis,322
T01-S4,S4,1,1,alert_verification,104
T01-S4,S4,1,2,log_extraction,252
T01-S4,S4,1,3,process_correlation,418
T01-S4,S4,1,4,artifact_correlation,196
T01-S4,S4,1,5,ti_lookup,178
T01-S4,S4,1,6,report_synthesis,323
T01-S5,S5,1,1,alert_verification,109
T01-S5,S5,1,2,log_extraction,239
T01-S5,S5,1,3,process_correlation,397
T01-S5,S5,1,4,artifact_correlation,214
T01-S5,S5,1,5,ti_lookup,169
T01-S5,S5,1,6,report_synthesis,308
T02-S1,S1,2,1,alert_verification,94
T02-S1,S1,2,2,log_extraction,226
T02-S1,S1,2,3,process_correlation,388
T02-S1,S1,2,4,artifact_correlation,182
T02-S1,S1,2,5,ti_lookup,159
T02-S1,S1,2,6,report_synthesis,298
T02-S2,S2,2,1,alert_verification,91
T02-S2,S2,2,2,log_extraction,218
T02-S2,S2,2,3,process_correlation,379
T02-S2,S2,2,4,artifact_correlation,177
T02-S2,S2,2,5,ti_lookup,152
T02-S2,S2,2,6,report_synthesis,289
T02-S3,S3,2,1,alert_verification,108
T02-S3,S3,2,2,log_extraction,236
T02-S3,S3,2,3,process_correlation,402
T02-S3,S3,2,4,artifact_correlation,188
T02-S3,S3,2,5,ti_lookup,184
T02-S3,S3,2,6,report_synthesis,311
T02-S4,S4,2,1,alert_verification,97
T02-S4,S4,2,2,log_extraction,234
T02-S4,S4,2,3,process_correlation,393
T02-S4,S4,2,4,artifact_correlation,184
T02-S4,S4,2,5,ti_lookup,163
T02-S4,S4,2,6,report_synthesis,306
T02-S5,S5,2,1,alert_verification,102
T02-S5,S5,2,2,log_extraction,227
T02-S5,S5,2,3,process_correlation,381
T02-S5,S5,2,4,artifact_correlation,206
T02-S5,S5,2,5,ti_lookup,157
T02-S5,S5,2,6,report_synthesis,293
T03-S1,S1,3,1,alert_verification,89
T03-S1,S1,3,2,log_extraction,213
T03-S1,S1,3,3,process_correlation,372
T03-S1,S1,3,4,artifact_correlation,174
T03-S1,S1,3,5,ti_lookup,148
T03-S1,S1,3,6,report_synthesis,286
T03-S2,S2,3,1,alert_verification,86
T03-S2,S2,3,2,log_extraction,209
T03-S2,S2,3,3,process_correlation,366
T03-S2,S2,3,4,artifact_correlation,168
T03-S2,S2,3,5,ti_lookup,146
T03-S2,S2,3,6,report_synthesis,277
T03-S3,S3,3,1,alert_verification,103
T03-S3,S3,3,2,log_extraction,229
T03-S3,S3,3,3,process_correlation,394
T03-S3,S3,3,4,artifact_correlation,181
T03-S3,S3,3,5,ti_lookup,178
T03-S3,S3,3,6,report_synthesis,304
T03-S4,S4,3,1,alert_verification,93
T03-S4,S4,3,2,log_extraction,221
T03-S4,S4,3,3,process_correlation,384
T03-S4,S4,3,4,artifact_correlation,179
T03-S4,S4,3,5,ti_lookup,156
T03-S4,S4,3,6,report_synthesis,298
T03-S5,S5,3,1,alert_verification,96
T03-S5,S5,3,2,log_extraction,219
T03-S5,S5,3,3,process_correlation,373
T03-S5,S5,3,4,artifact_correlation,198
T03-S5,S5,3,5,ti_lookup,151
T03-S5,S5,3,6,report_synthesis,286
