trial_id,scenario_id,repetition,analysis_technique,retrieved_passage_count,unique_source_count,source_files,all_passages_match_analysis_technique
T01-S1,S1,1,T1003.002,3,2,atomic_t1003_002.md;cisa_dfir_containment_playbook.md,TRUE
T01-S2,S2,1,T1059.001,3,1,atomic_t1059_001.md,TRUE
T01-S3,S3,1,T1105,3,1,atomic_t1105.md,TRUE
T01-S4,S4,1,T1053.005,3,2,atomic_t1053_005.md;lolbas_schtasks.yml,TRUE
T01-S5,S5,1,T1547.001,3,1,atomic_t1547_001.md,TRUE
T02-S1,S1,2,T1003.002,3,2,atomic_t1003_002.md;cisa_dfir_containment_playbook.md,TRUE
T02-S2,S2,2,T1059.001,3,1,atomic_t1059_001.md,TRUE
T02-S3,S3,2,T1105,3,1,atomic_t1105.md,TRUE
T02-S4,S4,2,T1053.005,3,2,atomic_t1053_005.md;lolbas_schtasks.yml,TRUE
T02-S5,S5,2,T1547.001,3,1,atomic_t1547_001.md,TRUE
T03-S1,S1,3,T1003.002,3,2,atomic_t1003_002.md;cisa_dfir_containment_playbook.md,TRUE
T03-S2,S2,3,T1059.001,3,1,atomic_t1059_001.md,TRUE
T03-S3,S3,3,T1105,3,1,atomic_t1105.md,TRUE
T03-S4,S4,3,T1053.005,3,2,atomic_t1053_005.md;lolbas_schtasks.yml,TRUE
T03-S5,S5,3,T1547.001,3,1,atomic_t1547_001.md,TRUE
