trial_id,scenario_id,repetition,attack_technique,reference_review_seconds,collection_seconds,retrieval_reasoning_seconds,forenrag_total_seconds,paired_difference_seconds,recorded_interval_ratio,relative_difference_percent
T01-S1,S1,1,T1003.002,1462,2.271,110.535,112.806,1349.194,12.960304,92.284131
T02-S1,S1,2,T1003.002,1347,2.063,104.271,106.334,1240.666,12.667632,92.105865
T03-S1,S1,3,T1003.002,1282,1.956,88.752,90.708,1191.292,14.133263,92.924493
T01-S2,S2,1,T1059.001,1413,1.935,99.247,101.182,1311.818,13.964934,92.839207
T02-S2,S2,2,T1059.001,1306,1.944,89.038,90.982,1215.018,14.354488,93.033538
T03-S2,S2,3,T1059.001,1252,1.574,96.44,98.014,1153.986,12.773685,92.171406
T01-S3,S3,1,T1105,1481,2.448,122.764,125.212,1355.788,11.82794,91.545442
T02-S3,S3,2,T1105,1429,2.37,105.867,108.237,1320.763,13.202509,92.425682
T03-S3,S3,3,T1105,1389,2.386,94.786,97.172,1291.828,14.294241,93.004176
T01-S4,S4,1,T1053.005,1471,2.479,91.759,94.238,1376.762,15.609414,93.59361
T02-S4,S4,2,T1053.005,1377,3.11,87.241,90.351,1286.649,15.240562,93.438562
T03-S4,S4,3,T1053.005,1331,2.079,97.575,99.654,1231.346,13.356212,92.512847
T01-S5,S5,1,T1547.001,1436,2.033,89.553,91.586,1344.414,15.679252,93.622145
T02-S5,S5,2,T1547.001,1366,1.801,83.63,85.431,1280.569,15.989512,93.7459
T03-S5,S5,3,T1547.001,1323,1.758,87.413,89.171,1233.829,14.836662,93.25994
